file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,122,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,29
static\style.css,123,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,53
static\style.css,124,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,31
static\style.css,125,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,126,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,6
static\style.css,127,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,56
static\style.css,128,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,33
static\style.css,129,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,41
static\style.css,130,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,131,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,132,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,2
static\style.css,133,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,13
static\style.css,134,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,27
static\style.css,135,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,136,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,2
static\style.css,137,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,11
static\style.css,138,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,20
static\style.css,139,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,17
static\style.css,140,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,25
static\style.css,141,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,25
static\style.css,142,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,143,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,2
static\style.css,144,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,20
static\style.css,145,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,17
static\style.css,146,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,147,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,7
static\style.css,148,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,19
static\style.css,149,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,18
static\style.css,150,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,31
static\style.css,151,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,17
static\style.css,152,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,18
static\style.css,153,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
src\app.html,1,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,14
src\app.html,2,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,15
src\app.html,3,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,5
src\app.html,4,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,23
src\app.html,5,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,56
src\app.html,6,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,52
src\app.html,7,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,15
src\app.html,8,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,59
src\app.html,9,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,60
src\app.html,10,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,65
src\app.html,11,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,6
src\app.html,12,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,41
src\app.html,13,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,2,52
src\app.html,14,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,1,6
src\app.html,15,html,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,6
src\routes\+page.svelte,1,svelte,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,12
src\routes\+page.svelte,2,svelte,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,59
src\routes\+page.svelte,3,svelte,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,13
src\routes\+page.svelte,4,svelte,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
src\routes\+page.svelte,5,svelte,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,31
src\routes\+page.svelte,6,svelte,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
src\routes\+page.svelte,7,svelte,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,7
